"","","percentage_growth"
"1","1996-1997","37.5838926174497"
"2","1997-1998","65.3658536585366"
"3","1998-1999","128.613569321534"
"4","1999-2000","34.8387096774194"
"5","2000-2001","-34.1626794258373"
"6","2001-2002","36.046511627907"
"7","2002-2003","3.52564102564103"
"8","2003-2004","2.88957688338493"
"9","2004-2005","9.12738214643932"
"10","2005-2006","11.0294117647059"
"11","2006-2007","33.2781456953642"
"12","2007-2008","18.944099378882"
"13","2008-2009","-11.9060052219321"
"14","2009-2010","-19.2056905749852"
"15","2010-2011","-21.2765957446809"
"16","2011-2012","-29.8229263746505"
"17","2012-2013","-7.56972111553785"
"18","2013-2014","-22.8448275862069"
"19","2014-2015","-32.0297951582868"
"20","2015-2016","-38.0821917808219"
