"","platform","cnt_edi"
"1","PC",679
"2","Xbox 360",366
"3","PlayStation 3",342
"4","PlayStation 2",314
"5","Wireless",268
"6","Xbox",212
"7","Wii",179
"8","iPhone",152
"9","PlayStation",124
"10","GameCube",110
"11","Nintendo DS",100
"12","Game Boy Advance",99
"13","PlayStation Portable",77
"14","PlayStation 4",62
"15","Dreamcast",59
"16","Nintendo 3DS",43
"17","Xbox One",43
"18","Nintendo 64",42
"19","Macintosh",40
"20","PlayStation Vita",35
"21","Game Boy Color",32
"22","iPad",30
"23","Wii U",24
"24","Nintendo DSi",23
"25","NES",9
"26","Super NES",9
"27","N-Gage",8
"28","Genesis",5
"29","Android",4
"30","NeoGeo Pocket Color",4
"31","Linux",3
"32","Master System",3
"33","iPod",3
"34","Game Boy",2
"35","Saturn",2
"36","TurboGrafx-16",2
"37","Arcade",1
"38","NeoGeo",1
"39","Nintendo 64DD",1
"40","Pocket PC",1
"41","SteamOS",1
"42","TurboGrafx-CD",1
"43","Windows Phone",1
"44","WonderSwan Color",1
